,I,I_inhib,RS Pyramidal,RS Inhibitory,FS,RS Pyramidal +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,RS Inhibitory +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,FS +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,Cb stellate,Cb stellate +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,Cb stellate $\Delta$$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,STN,STN +$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$,STN $\Delta$$\mathrm{K}_{\mathrm{V}}\mathrm{1.1}$
78,0.39,0.1365,53.38809143,106.1826551,66.87066324,18.76759477,18.71607711,23.36858118,32.53884389,0,20.23226662,103.9013412,0,28.98159673
79,0.395,0.13825,54.48382019,107.1577601,68.38020162,18.96693446,18.99443477,23.68779519,33.38967863,0,20.41607978,104.2198174,0,29.74070667
80,0.4,0.14,55.57761367,108.1276081,69.88259818,19.16553285,19.27566347,24.00912357,34.23071594,0,20.59817102,104.5718265,0,30.49223136
81,0.405,0.14175,56.67051425,109.0880519,71.37900366,19.36408361,19.55990239,24.33188714,35.0609448,0,20.77980979,104.8838607,0,31.29007224
82,0.41,0.1435,57.76087385,110.044656,72.87007683,19.56181534,19.84757084,24.65623545,35.88087549,0,20.96040588,105.2117731,0,32.09246303
83,0.415,0.14525,58.85098859,110.9967601,74.35392775,19.75933141,20.13895902,24.98230442,36.69299657,0,21.14030842,105.532942,0,32.90859275
84,0.42,0.147,59.93767,111.9418209,75.8316627,19.95609659,20.43443629,25.31054098,37.49531309,0,21.31906916,105.8546518,0,33.78971489
85,0.425,0.14875,61.02274559,112.8804814,77.30120781,20.15275798,20.73312338,25.64102564,38.28869786,0,21.4973912,106.1513153,0,34.97293495
86,0.43,0.1505,62.10433902,113.8111072,78.76342585,20.34960631,21.03612495,25.97298832,39.07374771,0,21.67487708,106.4840202,0,35.97329904
87,0.435,0.15225,63.18367244,114.7389561,80.21820588,20.54615421,21.34426168,26.30726922,39.8501649,0,21.85227875,106.775662,0,37.01700932
88,0.44,0.154,64.26090275,115.6623037,81.66599973,20.74215436,21.65652773,26.64382942,40.61895609,0,22.02819634,107.0838989,0,38.196604
89,0.445,0.15575,65.33360397,116.5805988,83.10531237,20.93802345,21.97363173,26.98327037,41.38094286,0,22.20413021,107.3856212,0,39.32449458
90,0.45,0.1575,66.40507335,117.4921675,84.53596198,21.13433775,22.29654404,27.32560459,42.13652369,0,22.37955755,107.6902558,25.07571772,40.59607952
91,0.455,0.15925,67.47224691,118.3978562,85.96047213,21.33064446,22.62489983,27.66962482,42.88339868,0,22.55392455,107.9849672,26.10394714,41.90851856
92,0.46,0.161,68.53595373,119.3009255,87.37441598,21.52667179,22.95815898,28.01681053,43.62482814,0,22.72856434,108.2818366,27.00315718,43.24971312
93,0.465,0.16275,69.59654897,120.1971289,88.78017704,21.72238814,23.29817446,28.36707027,44.36020659,0,22.90235297,108.5581551,27.83647201,44.61267896
94,0.47,0.1645,70.65196897,121.089833,90.17855948,21.91846356,23.64392285,28.72022697,45.08751152,0,23.07627789,108.8645552,28.64478733,46.06052081
95,0.475,0.16625,71.70458591,121.9780708,91.5659847,22.11499815,23.99664073,29.07640906,45.81125871,0,23.24905574,109.155405,29.42376557,47.43298994
96,0.48,0.168,72.75445354,122.8625087,92.94783951,22.31101565,24.35658066,29.43542898,46.52856621,0,23.42240384,109.4380813,30.21008899,48.87040957
97,0.485,0.16975,73.80073801,123.7426366,94.3173937,22.50777551,24.72340717,29.79796993,47.23944609,0,23.59502379,109.7214506,30.96724014,50.21128977
98,0.49,0.1715,74.84145986,124.6181537,95.68043828,22.70491209,25.09797902,30.16348663,47.94534459,0,23.76708293,109.98467,31.75364132,51.71286966
99,0.495,0.17325,75.87859837,125.4908533,97.03741186,22.90187617,25.48041234,30.53372977,48.64759957,0,23.9391947,110.2801639,32.54703288,53.062586
100,0.5,0.175,76.91218527,126.3589074,98.38067808,23.09913395,25.87167679,30.90616958,49.3437313,0,24.11139498,110.5393556,33.35745546,54.30288767
101,0.505,0.17675,77.9407662,127.2188853,99.72079769,23.29644761,26.27164928,31.28360619,50.03602903,0,24.28314154,110.8289385,34.19666659,55.67207191
102,0.51,0.1785,78.96496336,128.079447,101.0481508,23.4947353,26.68089675,31.66435815,50.72280316,0,24.45436232,111.0840645,35.07351017,56.89784093
103,0.515,0.18025,79.98561151,128.9387263,102.3662458,23.6929398,27.09914142,32.04935651,51.40575243,0,24.62599302,111.3563139,35.99073094,58.17023828
104,0.52,0.182,81.00118767,129.7897952,103.6786242,23.89200846,27.52762636,32.43791233,52.08441897,0,24.79732984,111.6227825,36.89632497,59.3948776
105,0.525,0.18375,82.01313404,130.6401921,104.9796267,24.09106433,27.96755817,32.83120933,52.75974374,0,24.96826961,111.8924543,37.89099415,60.48634203
106,0.53,0.1855,83.01949343,131.4858459,106.2741918,24.29051475,28.41774094,33.22843664,53.42978455,0,25.13931392,112.1410611,38.86652954,61.62082959
107,0.535,0.18725,84.02353385,132.3282228,107.559033,24.49079575,28.87947685,33.63040283,54.09792119,0,25.31054098,112.4179557,39.94320069,62.76625794
108,0.54,0.189,85.02025239,133.1719324,108.8358789,24.69135802,29.354208,34.0367597,54.76007184,0,25.48120312,112.6792267,40.98539116,63.81602786
109,0.545,0.19075,86.01377742,134.0080823,110.1013185,24.89265073,29.84120273,34.44782191,55.41986084,0,25.6519884,112.9325102,42.13183323,64.75425072
110,0.55,0.1925,87.00228185,134.8414686,111.3608318,25.09361861,30.34103391,34.86480278,56.0773901,0,25.82336859,113.1893029,43.30420007,65.73178547
111,0.555,0.19425,87.98769872,135.6742339,112.6126126,25.29625831,30.85530974,35.2858151,56.73037787,0,25.99428126,113.43798,44.48379503,66.72283706
112,0.56,0.196,88.96797153,136.5023902,113.8535677,25.49882099,31.38469324,35.71203562,57.38143198,0,26.16483861,113.6904085,45.70783339,67.63383751
113,0.565,0.19775,89.94244748,137.3271368,115.0885132,25.70287517,31.92848102,36.14385348,58.02785755,0,26.33551469,113.9517854,46.93227466,68.55827129
114,0.57,0.1995,90.91268742,138.1524504,116.3140781,25.90673575,32.48862984,36.58090586,58.67167816,0,26.50681065,114.1845638,48.14160434,69.41118527
115,0.575,0.20125,91.87873856,138.9756752,117.5322446,26.11123417,33.06536687,37.0240464,59.31198102,1.772169845,26.67815925,114.4412913,49.42890293,70.27678624
116,0.58,0.203,92.84134768,139.7931677,118.740967,26.31685517,33.66011786,37.47312911,59.950841,2.772886714,26.84924199,114.6853091,50.64542634,71.0783797
117,0.585,0.20475,93.7974068,140.6102905,119.9406723,26.52303463,34.27143109,37.92793825,60.58648263,3.747704531,27.02028614,114.921131,51.90675718,71.89345374
118,0.59,0.2065,94.75044384,141.4258331,121.1351398,26.72980014,34.90333879,38.38771593,61.21885324,4.716462027,27.19153345,115.1611545,53.05403425,72.68489524
119,0.595,0.20825,95.69768036,142.2389731,122.3180723,26.93742271,35.55555718,38.85532354,61.84909143,5.688605723,27.3629901,115.413229,54.21164852,73.41697761
120,0.6,0.21,96.64171783,143.0500024,123.4961719,27.14546114,36.22751087,39.32851863,62.47607342,6.672152665,27.53466453,115.6340214,55.39449207,74.16812734
121,0.605,0.21175,97.58041936,143.8590507,124.6657389,27.35497028,36.92156399,39.8089172,63.10019557,7.671800388,27.70614482,115.8812313,56.54683417,74.89689829
122,0.61,0.2135,98.51425152,144.6655178,125.8263974,27.56514954,37.63879557,40.29577245,63.72471411,8.682515167,27.87844996,116.1271698,57.66954422,75.60622625
123,0.615,0.21525,99.44314214,145.4734608,126.9777794,27.7755738,38.37918952,40.78885803,64.34359831,9.693303888,28.04992902,116.3437431,58.75269437,76.26559664
124,0.62,0.217,100.3680385,146.278001,128.1256156,27.98768542,39.14297792,41.289897,64.96143558,10.68193474,28.22239291,116.5869572,59.81510348,76.9857908
125,0.625,0.21875,101.2884092,147.0795916,129.2632509,28.20078962,39.93190951,41.79853287,65.5764597,11.62542871,28.39526252,116.8149033,60.83825055,77.64573144
126,0.63,0.2205,102.2023871,147.8817494,130.3911893,28.41428073,40.74814044,42.31482365,66.19063386,12.5117298,28.56793103,117.0385809,61.83372467,78.28880463
127,0.635,0.22225,103.1136445,148.6810388,131.5134539,28.62868594,41.59042217,42.83791136,66.80162031,13.34252488,28.74058803,117.2652544,62.85151938,78.91710493
128,0.64,0.224,104.0187495,149.4827982,132.631332,28.84456927,42.46113434,43.36961384,67.41160636,14.13085174,28.91343376,117.5011311,63.78197526,79.53130093
129,0.645,0.22575,104.9234931,150.2796029,133.7379208,29.0607163,43.36066434,43.90867207,68.01768974,14.90217793,29.08728279,117.7202374,64.69462726,80.17293963
130,0.65,0.2275,105.8201058,151.0787311,134.8387541,29.27914799,44.28966168,44.45702018,68.62207503,15.69027408,29.26030023,117.9425946,65.62469696,80.76167161
131,0.655,0.22925,106.7128522,151.8725138,135.9320902,29.49728235,45.24887764,45.01371098,69.22606096,16.5255872,29.43485143,118.1741229,66.48093838,81.33758117
132,0.66,0.231,107.5997581,152.6717557,137.0166986,29.71709344,46.23767294,45.57790756,69.82683291,17.41098646,29.60915968,118.3779984,67.37334619,81.87420788
133,0.665,0.23275,108.4838586,153.4660245,138.0966975,29.93832748,47.25992255,46.1532308,70.42537111,18.3207227,29.78377049,118.6064107,68.22798059,82.46661617
134,0.67,0.2345,109.3626898,154.2592259,139.1678432,30.15965828,48.3160011,46.73534376,71.02272727,19.22214407,29.95865722,118.8228558,69.01570051,83.00891275
135,0.675,0.23625,110.2381292,155.0543924,140.2328112,30.3828242,49.40029845,47.32794402,71.61899436,20.08959978,30.13379473,119.051544,69.81425689,83.5418535
136,0.68,0.238,111.108909,155.8504708,141.290772,30.60724825,50.51782958,47.93098184,72.21231008,20.90539382,30.30991944,119.2608491,70.56775756,84.08939912
137,0.685,0.23975,111.9753725,156.6454699,142.3388377,30.83267556,51.66892661,48.54172653,72.80376297,21.66164536,30.48532695,119.4734394,71.33642201,84.63732794
138,0.69,0.2415,112.837278,157.4395689,143.3822769,31.0597597,52.84984981,49.16420846,73.39377736,22.35844338,30.66167973,119.6950749,72.13409932,85.14134148
139,0.695,0.24325,113.693065,158.2310629,144.4246808,31.28788801,54.0692336,49.7968306,73.98225314,22.99908004,30.83802383,119.8911662,72.82027906,85.63576966
140,0.7,0.245,114.5475372,159.0241706,145.4546224,31.51715749,55.31413617,50.43882079,74.56821188,23.59046945,31.01556639,120.1119438,73.53502497,86.15710592
141,0.705,0.24675,115.393996,159.8210863,146.4775829,31.74729191,56.593128,51.09235697,75.15377871,24.1395268,31.19281353,120.3311595,74.19832278,86.63416435
142,0.71,0.2485,116.2394858,160.6136421,147.4956098,31.9795331,57.89698007,51.75674472,75.73644731,24.65280664,31.37070435,120.5220506,74.92394949,87.10595367
143,0.715,0.25025,117.0774486,161.4125634,148.5049937,32.21283284,59.23448221,52.43125956,76.31902262,25.136681,31.5488521,120.7403284,75.58187942,87.60040742
144,0.72,0.252,117.9149491,162.2093972,149.5100939,32.44777973,60.59781173,53.11824088,76.89818172,25.59617787,31.72723079,120.9520663,76.19938223,88.05590257
145,0.725,0.25375,118.7481306,163.0042134,150.5088021,32.6841375,61.98764504,53.8159518,77.47671559,26.03488675,31.90683241,121.1581687,76.88074425,88.53532871
